rank,word,count,relative_frequency
110,lydia,176,0.0013689573367557267
111,make,171,0.0013300665033251662
112,illustration,163,0.0012678411698362696
113,dear,163,0.0012678411698362696
114,shall,163,0.0012678411698362696
115,first,160,0.0012445066697779332
116,say,160,0.0012445066697779332
117,man,158,0.0012289503364057092
118,room,153,0.0011900595029751488
119,family,153,0.0011900595029751488
120,see,153,0.0011900595029751488
121,great,148,0.0011511686695445883
122,day,148,0.0011511686695445883
123,too,146,0.001135612336172364
124,two,145,0.0011278341694862522
125,into,145,0.0011278341694862522
126,out,144,0.00112005600280014
127,mother,137,0.0010656088359973553
128,however,136,0.0010578306693112434
129,ever,136,0.0010578306693112434
130,father,135,0.0010500525026251313
131,himself,133,0.001034496169252907
132,young,133,0.001034496169252907
133,made,132,0.001026718002566795
134,catherine,132,0.001026718002566795
135,about,129,0.0010033835025084587
136,give,127,0.0009878271691362347
137,us,127,0.0009878271691362347
138,always,126,0.0009800490024501226
139,hope,125,0.0009722708357640104
140,its,123,0.0009567145023917863
141,many,121,0.0009411581690195621
142,away,121,0.0009411581690195621
143,long,119,0.000925601835647338
144,last,119,0.000925601835647338
145,letter,118,0.0009178236689612258
146,way,115,0.0008944891689028896
147,up,115,0.0008944891689028896
148,friend,115,0.0008944891689028896
149,cannot,114,0.0008867110022167775
150,thought,112,0.0008711546688445534
151,enough,111,0.0008633765021584412
152,house,110,0.0008555983354723291
153,go,107,0.0008322638354139929
154,felt,106,0.0008244856687278808
155,sure,106,0.0008244856687278808
156,replied,103,0.0008011511686695446
157,love,102,0.0007933730019834325
158,saw,102,0.0007933730019834325
159,indeed,100,0.0007778166686112084
160,quite,98,0.0007622603352389842
161,better,98,0.0007622603352389842
162,wish,98,0.0007622603352389842
163,come,98,0.0007622603352389842
164,myself,97,0.0007544821685528721
165,manner,97,0.0007544821685528721
166,lizzy,97,0.0007544821685528721
167,gardiner,97,0.0007544821685528721
168,till,96,0.0007467040018667601
169,over,95,0.0007389258351806479
170,even,95,0.0007389258351806479
171,pleasure,94,0.0007311476684945358
172,came,94,0.0007311476684945358
173,having,94,0.0007311476684945358
174,done,93,0.0007233695018084238
175,where,93,0.0007233695018084238
176,oh,93,0.0007233695018084238
177,feelings,92,0.0007155913351223116
178,often,92,0.0007155913351223116
179,does,91,0.0007078131684361996
180,really,91,0.0007078131684361996
181,cried,91,0.0007078131684361996
182,believe,90,0.0007000350017500875
183,perhaps,89,0.0006922568350639755
184,like,89,0.0006922568350639755
185,chapter,89,0.0006922568350639755
186,whom,88,0.0006844786683778633
187,aunt,88,0.0006844786683778633
188,longbourn,88,0.0006844786683778633
189,subject,87,0.0006767005016917512
190,charlotte,87,0.0006767005016917512
191,heard,87,0.0006767005016917512
192,daughter,84,0.000653366001633415
193,take,83,0.0006455878349473029
194,ladies,83,0.0006455878349473029
195,happy,83,0.0006455878349473029
196,anything,81,0.0006300315015750788
197,less,81,0.0006300315015750788
198,whole,80,0.0006222533348889666
199,while,80,0.0006222533348889666
200,seen,79,0.0006144751682028546
